 "x" , "p" , "o" ,
 山治 , "http://kg.course/talkop-vivre-card/21年前" , 生于南海杰尔马王国(注：此处疑似出错，山治诞生地按过去漫画和资料设定应该为北海) ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/0年前" , 再度与草帽一伙汇合！ ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/0年前" , "德雷斯罗萨的骚动过后，悬赏金涨至100贝里！" ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞招募，加入草帽一伙 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 在托里诺王国研习药学 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 成为“草帽一伙”的船医 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛之战，成为悬赏50贝里的赏金犯！" ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛的战斗，悬赏金50贝里！" ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 吃下了人人果实 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 因为想要同伴，而来到人类的村庄 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 成为“人人果实”的能力者 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/7年前" , 因为西尔尔克的死而立志成为医生 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/17年前" , 出生，因为是蓝鼻子，被父母抛弃 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克死别，在朵丽尔医娘门下学习医术 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克相遇 ,
 托尼托尼·乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克相遇，受到他的治疗 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/0年前" , 再度与草帽一伙汇合！ ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/0年前" , "德雷斯罗萨的骚动过后，悬赏金涨至100贝里！" ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞招募，加入草帽一伙 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 在托里诺王国研习药学 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/2年前" , 成为“草帽一伙”的船医 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛之战，成为悬赏50贝里的赏金犯！" ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛的战斗，悬赏金50贝里！" ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 吃下了人人果实 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 因为想要同伴，而来到人类的村庄 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/？年前" , 成为“人人果实”的能力者 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/7年前" , 因为西尔尔克的死而立志成为医生 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/17年前" , 出生，因为是蓝鼻子，被父母抛弃 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克死别，在朵丽尔医娘门下学习医术 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克相遇 ,
 托尼托尼•乔巴 , "http://kg.course/talkop-vivre-card/8年前" , 与西尔尔克相遇，受到他的治疗 ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/0年前" , 和“草帽一伙”再次汇合！！ ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/0年前" , "经过德雷斯罗萨的骚动后，悬赏金提升到了1亿3000万贝里！！" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/2年前" , 巴洛克工作室被击败，加入“草帽一伙”！ ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/2年前" , 巴洛克工作室解散后，加入“草帽一伙” ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛一役，悬赏金涨到了8000万贝里！！" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/2年前" , "经过司法岛一战，赏金涨为8000万贝里" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/？年前" , 吃下了“花花果实” ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/？年前" , 吃下花花果实 ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/？年前" , 接受了克洛克达尔的邀请加入了巴洛克工作室！！ ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/22年前" , "8岁取得了博士学位" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/22年前" , "从奥哈拉逃出，成为悬赏7900万贝里的通缉犯" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/22年前" , "从奥哈拉逃离出来，成为了悬赏金7900万贝里的悬赏犯！！" ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/22年前" , 取得博士称号 ,
 妮可·罗宾 , "http://kg.course/talkop-vivre-card/6年前" , "加入在巴洛克工作室，别名「Miss.All Sunday」" ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , 和“草帽一伙”再次汇合！！ ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , 储存在桑尼号上 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , "在庞克哈萨德击败Baby 5和巴法罗" ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , 在鱼人岛击败伊卡洛斯 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , 在鱼人岛初次合体，初次亮相 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , 弗兰奇通缉令的照片变成弗兰奇将军 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/0年前" , "经过德雷斯罗萨的骚动后，悬赏金提升到了9400万贝里！！" ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 与“草帽一伙”一同袭击司法岛 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 作为船匠加入草帽一伙 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 制造出了千阳号 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 加入草帽一伙！！ ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 在巴尔基摩亚开始制造 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 在未来国“巴尔基摩亚”将自己再次进行大改造，成为了“钢铁弗兰奇” ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , 建造千阳号 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/2年前" , "经过了司法岛之战后，成为了悬赏金4400万贝里的悬赏犯！！" ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/？年前" , 在船匠汤姆的门下学习 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/10年前" , 为了带回汤姆而冲撞海列车 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/10年前" , 自己改造了全身的前半面 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/6年前" , "回到Water Seven" ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/6年前" , 建立弗兰奇一家 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/24年前" , 因为受了很严重的伤所以把自己的身体进行了改造 ,
 弗兰奇 , "http://kg.course/talkop-vivre-card/26年前" , 被汤姆捡到 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , 和“草帽一伙”再次汇合！！ ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , 储存在桑尼号上 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , "在庞克哈萨德击败Baby 5和巴法罗" ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , 在鱼人岛击败伊卡洛斯 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , 在鱼人岛初次合体，初次亮相 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , 弗兰奇通缉令的照片变成弗兰奇将军 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/0年前" , "经过德雷斯罗萨的骚动后，悬赏金提升到了9400万贝里！！" ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 与“草帽一伙”一同袭击司法岛 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 作为船匠加入草帽一伙 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 制造出了千阳号 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 加入草帽一伙！！ ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 在巴尔基摩亚开始制造 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 在未来国“巴尔基摩亚”将自己再次进行大改造，成为了“钢铁弗兰奇” ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , 建造千阳号 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/2年前" , "经过了司法岛之战后，成为了悬赏金4400万贝里的悬赏犯！！" ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/？年前" , 在船匠汤姆的门下学习 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/10年前" , 为了带回汤姆而冲撞海列车 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/10年前" , 自己改造了全身的前半面 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/6年前" , "回到Water Seven" ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/6年前" , 建立弗兰奇一家 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/24年前" , 因为受了很严重的伤所以把自己的身体进行了改造 ,
 弗兰奇将军 , "http://kg.course/talkop-vivre-card/26年前" , 被汤姆捡到 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/0年前" , 和“草帽一伙”再次汇合！！ ,
 布鲁克 , "http://kg.course/talkop-vivre-card/0年前" , "经过德雷斯罗萨的骚动后，悬赏金提升到了8300万贝里！！" ,
 布鲁克 , "http://kg.course/talkop-vivre-card/2年前" , 加入草帽一伙！！ ,
 布鲁克 , "http://kg.course/talkop-vivre-card/2年前" , 加入草帽一伙 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/？年前" , 作为船上的音乐家和剑士加入伦巴海贼团 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/？年前" , 加入伦巴海贼团 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/？年前" , 就任某王国护卫战团团长 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/7年前" , 被月光•莫利亚夺走影子 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/51年前" , 因黄泉果实的能力复活 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , 与拉布离别 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , 伦巴海贼团全灭，死亡 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , 伦巴海贼团团灭 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , 因为黄泉果实的能力而复活 ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , "成为了3300万贝里的悬赏犯" ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , "被悬赏3300万贝里" ,
 布鲁克 , "http://kg.course/talkop-vivre-card/52年前" , 许下了再次相会的誓言，在双子岬和拉布分别 ,
 甚平 , "http://kg.course/talkop-vivre-card/0年前" , 辞去太阳海贼团•船长一职，明确表明加入“草帽一伙” ,
 甚平 , "http://kg.course/talkop-vivre-card/12年前" , 成为太阳海贼团船长 ,
 甚平 , "http://kg.course/talkop-vivre-card/2年前" , "加入BIG MOM海贼团麾下" ,
 甚平 , "http://kg.course/talkop-vivre-card/2年前" , 退出王下七武海，在顶上战争中支援白胡子海贼团 ,
 甚平 , "http://kg.course/talkop-vivre-card/？年前" , 在尼普顿军中担任要职 ,
 甚平 , "http://kg.course/talkop-vivre-card/11年前" , 加入王下七武海 ,
 甚平 , "http://kg.course/talkop-vivre-card/15年前" , 加入太阳海贼团 ,
 甚平 , "http://kg.course/talkop-vivre-card/46年前" , 在鱼人街出生 ,
 奈菲鲁塔丽•薇薇 , "http://kg.course/talkop-vivre-card/0年前" , 出席“世界会议” ,
 奈菲鲁塔丽•薇薇 , "http://kg.course/talkop-vivre-card/2年前" , 从克洛克达尔手中夺回阿拉巴斯坦 ,
 奈菲鲁塔丽•薇薇 , "http://kg.course/talkop-vivre-card/2年前" , 和“草帽一伙”共同航行 ,
 奈菲鲁塔丽•薇薇 , "http://kg.course/talkop-vivre-card/4年前" , 卧底巴洛克工作室 ,
 "哥尔·D·罗杰" , "http://kg.course/talkop-vivre-card/24年前" , 向世界政府自首 ,
 "哥尔·D·罗杰" , "http://kg.course/talkop-vivre-card/24年前" , 在罗格镇被处刑 ,
 "哥尔·D·罗杰" , "http://kg.course/talkop-vivre-card/25年前" , "称霸“伟大航路”（Grand Line）" ,
 "哥尔·D·罗杰" , "http://kg.course/talkop-vivre-card/27年前" , 在爱特·沃尔海战中与西奇激烈冲突 ,
 "哥尔·D·罗杰" , "http://kg.course/talkop-vivre-card/28年前" , 患了不治之症 ,
 香克斯 , "http://kg.course/talkop-vivre-card/12年前" , 将草帽托付给路飞 ,
 香克斯 , "http://kg.course/talkop-vivre-card/2年前" , 结束了顶上战争 ,
 香克斯 , "http://kg.course/talkop-vivre-card/？年前" , 成为“四皇”之一 ,
 香克斯 , "http://kg.course/talkop-vivre-card/？年前" , 红发海贼团成立 ,
 香克斯 , "http://kg.course/talkop-vivre-card/25年前" , 罗杰海贼团解散 ,
 香克斯 , "http://kg.course/talkop-vivre-card/13年前" , 在风车村停泊 ,
 拉基·路 , "http://kg.course/talkop-vivre-card/12年前" , 保管的橡胶果实被路飞吃了 ,
 拉基·路 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 拉基·路 , "http://kg.course/talkop-vivre-card/？年前" , 加入红发海贼团 ,
 拉基·路 , "http://kg.course/talkop-vivre-card/？年前" , 在敌船得到橡胶果实 ,
 拉基·路 , "http://kg.course/talkop-vivre-card/13年前" , 在风车村停泊 ,
 雅索普 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 雅索普 , "http://kg.course/talkop-vivre-card/？年前" , 加入红发海贼团 ,
 雅索普 , "http://kg.course/talkop-vivre-card/？年前" , 在西罗布村与香克斯相遇 ,
 雅索普 , "http://kg.course/talkop-vivre-card/13年前" , 在风车村停泊 ,
 本·贝克曼 , "http://kg.course/talkop-vivre-card/12年前" , 与西格一伙交战，并将其击溃 ,
 本·贝克曼 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 本·贝克曼 , "http://kg.course/talkop-vivre-card/？年前" , 加入红发海贼团 ,
 本·贝克曼 , "http://kg.course/talkop-vivre-card/？年前" , 成为红发海贼团副船长 ,
 本·贝克曼 , "http://kg.course/talkop-vivre-card/13年前" , 在风车村停泊 ,
 玛琪诺 , "http://kg.course/talkop-vivre-card/2年前" , 获知艾斯的死讯 ,
 玛琪诺 , "http://kg.course/talkop-vivre-card/？年前" , 在风车村开了酒吧 ,
 玛琪诺 , "http://kg.course/talkop-vivre-card/？年前" , 教会路飞等人打招呼的方法 ,
 玛琪诺 , "http://kg.course/talkop-vivre-card/13年前" , 与红发海贼团和路飞相遇 ,
 西格 , "http://kg.course/talkop-vivre-card/12年前" , 来到玛琪诺的酒吧 ,
 西格 , "http://kg.course/talkop-vivre-card/12年前" , 被海王类吃下肚子 ,
 西格 , "http://kg.course/talkop-vivre-card/12年前" , "赏金达到800万贝里" ,
 西格 , "http://kg.course/talkop-vivre-card/？年前" , 以东海为根据地，开始山贼生涯 ,
 克比 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 克比 , "http://kg.course/talkop-vivre-card/2年前" , 从亚尔丽塔手下逃出 ,
 克比 , "http://kg.course/talkop-vivre-card/2年前" , 加入海军，打杂 ,
 克比 , "http://kg.course/talkop-vivre-card/2年前" , 升为上士 ,
 克比 , "http://kg.course/talkop-vivre-card/4年前" , 开始在亚尔丽塔的船上打杂 ,
 亚尔丽塔 , "http://kg.course/talkop-vivre-card/2年前" , 人生第一次被打了脸 ,
 亚尔丽塔 , "http://kg.course/talkop-vivre-card/2年前" , 吃下滑滑果实 ,
 亚尔丽塔 , "http://kg.course/talkop-vivre-card/2年前" , 和巴基缔结海贼同盟 ,
 亚尔丽塔 , "http://kg.course/talkop-vivre-card/？年前" , 亚尔丽塔海贼团成立 ,
 亚尔丽塔 , "http://kg.course/talkop-vivre-card/4年前" , 抓到克比，令其打杂 ,
 贝鲁梅伯 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 贝鲁梅伯 , "http://kg.course/talkop-vivre-card/2年前" , 与父亲·蒙卡诀别 ,
 贝鲁梅伯 , "http://kg.course/talkop-vivre-card/2年前" , 升为中士 ,
 贝鲁梅伯 , "http://kg.course/talkop-vivre-card/2年前" , 第一次被父亲·蒙卡殴打 ,
 贝鲁梅伯 , "http://kg.course/talkop-vivre-card/2年前" , 顺带跟克比一起加入海军 ,
 蒙卡 , "http://kg.course/talkop-vivre-card/2年前" , 向卡普挥斧，从押送船逃走 ,
 蒙卡 , "http://kg.course/talkop-vivre-card/2年前" , 因恶行遭到揭露而被捕 ,
 蒙卡 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞和索隆打败 ,
 蒙卡 , "http://kg.course/talkop-vivre-card/？年前" , 加入海军 ,
 蒙卡 , "http://kg.course/talkop-vivre-card/5年前" , "因逮捕C·克洛的功绩而晋升" ,
 蒙卡 , "http://kg.course/talkop-vivre-card/5年前" , 遭遇黑猫海贼团，被植入虚假记忆 ,
 克伊娜 , "http://kg.course/talkop-vivre-card/？年前" , 与索隆使用真剑决战，胜利 ,
 克伊娜 , "http://kg.course/talkop-vivre-card/？年前" , 克伊娜出生 ,
 克伊娜 , "http://kg.course/talkop-vivre-card/？年前" , 因意外事故而身亡 ,
 克伊娜 , "http://kg.course/talkop-vivre-card/？年前" , 索隆加入一心道场 ,
 耕四郎 , "http://kg.course/talkop-vivre-card/2年前" , “海贼猎人索隆”的恶名传扬到了道场 ,
 耕四郎 , "http://kg.course/talkop-vivre-card/？年前" , 克伊娜出生 ,
 耕四郎 , "http://kg.course/talkop-vivre-card/？年前" , 索隆加入一心道场 ,
 耕四郎 , "http://kg.course/talkop-vivre-card/？年前" , 克伊娜因为意外事故而亡故 ,
 耕四郎 , "http://kg.course/talkop-vivre-card/？年前" , 开设一心道场 ,
 巴基 , "http://kg.course/talkop-vivre-card/2年前" , 参加顶上战争 ,
 巴基 , "http://kg.course/talkop-vivre-card/2年前" , 与女海贼·亚尔丽塔组成同盟 ,
 巴基 , "http://kg.course/talkop-vivre-card/2年前" , 从因佩尔当越狱 ,
 巴基 , "http://kg.course/talkop-vivre-card/2年前" , 在海军派出所被捕，收入因佩尔当大监狱 ,
 巴基 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞击败，打飞到远方 ,
 巴基 , "http://kg.course/talkop-vivre-card/？年前" , 吃下四分五裂果实 ,
 巴基 , "http://kg.course/talkop-vivre-card/？年前" , 巴基海贼团成立 ,
 巴基 , "http://kg.course/talkop-vivre-card/25年前" , 罗杰海贼团解散 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/2年前" , 与巴基汇合 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/2年前" , 为了救出巴基，试图潜入因佩尔当，终告放弃 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/2年前" , 在巴基复活的同时回到副船长的位置 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/2年前" , 被利基打败，主从关系一度逆转 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/2年前" , 被路飞打败 ,
 摩奇&利基 , "http://kg.course/talkop-vivre-card/？年前" , 加入巴基海贼团 ,
 布多尔 , "http://kg.course/talkop-vivre-card/12年前" , 咻咻的主人开了宠物食品店 ,
 布多尔 , "http://kg.course/talkop-vivre-card/2年前" , 咻咻的主人生病过世 ,
 布多尔 , "http://kg.course/talkop-vivre-card/2年前" , 因为路飞等人的活跃，城镇从海贼手中解放 ,
 布多尔 , "http://kg.course/talkop-vivre-card/2年前" , 城镇被海贼巴基占领 ,
 布多尔 , "http://kg.course/talkop-vivre-card/42年前" , 在荒地上开始建造城镇 ,
 卡巴吉 , "http://kg.course/talkop-vivre-card/2年前" , 与巴基汇合 ,
 卡巴吉 , "http://kg.course/talkop-vivre-card/2年前" , 为了救出巴基，试图潜入因佩尔当，终告放弃 ,
 卡巴吉 , "http://kg.course/talkop-vivre-card/2年前" , 在次任船长宝座的争斗之中被利基击败 ,
 卡巴吉 , "http://kg.course/talkop-vivre-card/2年前" , 被索隆击败 ,
 卡巴吉 , "http://kg.course/talkop-vivre-card/？年前" , 加入巴基海贼团 ,
 盖蒙 , "http://kg.course/talkop-vivre-card/0年前" , 酒桶里的萨凡可儿登陆 ,
 盖蒙 , "http://kg.course/talkop-vivre-card/2年前" , 与路飞相遇，得知宝箱里空无一物 ,
 盖蒙 , "http://kg.course/talkop-vivre-card/2年前" , 和巴基相遇，开起酒宴 ,
